"PeakCoord","Sig_Control","Count_Control","Sig_Cond1","Count_Cond1","Sig_Cond2","Count_Cond2","Enrich_Cond1","Enrich_Cond2","Group"
2888,1,0.0250603724188322,1,0.0440635654977517,1,0.0242352627112478,0.758296515363796,-0.0329248781221,1
4364,0,0.000000176321316682959,1,0.0179302925169991,1,0.0408945164581451,101690.00851963,231930.777889778,2
14358,0,0.789470937310014,1,0.0507087832811241,1,0.379762168534727,-0.935768651023551,-0.51896624614365,3
15237,1,0.0572867957902933,1,0.0412759171378243,1,0.178872389996264,-0.279486370839786,2.12240172501622,3
15805,0,0.00321345599654692,1,0.00116264503258774,0,0.00251106767026043,-0.638194817717409,-0.218577234927522,3
15970,0,0.00330937479282245,1,0.00123644574266411,0,0.00182850367597986,-0.626380866456775,-0.44747760817372,3
16733,0,0.00577646265585041,0,0.0431734153946767,1,0.00929970501589053,6.47402311186945,0.609930777700393,3
16931,1,0.0170539740708925,1,1.15898161580158,1,0.0935049182453408,66.9596210820864,4.48288145957335,3
17018,1,1.38631154142916,0,2.50717588904309,1,0.768428669830538,0.808522697905567,-0.44570275377037,3
20041,1,0.0404553392210547,1,0.0091967038710554,1,0.0119092809408302,-0.772670207489719,-0.705619056220097,4
20098,0,0.435168238747526,1,0.210260241488539,1,0.0269419084521025,-0.51682999178962,-0.938088522890262,4
21248,0,0.0550970613584076,0,0.028824412719811,1,0.014517368825669,-0.476843011058112,-0.736512829037593,5
24263,1,0.847199946962548,1,0.936092748190842,1,0.318497920736766,0.104925409340498,-0.624058143678276,6
28769,0,0.0863974451746498,1,0.00509679057742811,1,0.0132066535034639,-0.941007623927709,-0.847140694070674,7
29863,1,0.0568854884735229,1,0.00594051561843797,1,0.00668075443831521,-0.895570631845713,-0.882557843527621,8
34194,1,0.0487838766145743,1,0.0362438441061554,1,0.0141441187670278,-0.257052808810042,-0.710065707184856,9
34721,0,0.0315489968727651,1,0.00638659991045514,0,0.017324804482691,-0.797565674236432,-0.450860369584467,9
40544,1,0.0292074497872154,1,0.00732721203751397,0,0.0662840518756572,-0.749132084762799,1.26942277941263,10
54657,1,0.103727891070101,1,0.0179302925169991,0,0.0212802134762169,-0.827141067537163,-0.794845790686756,11
79408,0,0.244678270019875,0,0.132024928744468,1,0.0377160628026333,-0.460414164552725,-0.845854465132643,12
84878,0,1.34022696785169,1,0.0879584616803375,1,0.154869707952786,-0.934370473218182,-0.884445163641921,13
86243,0,0.0656091619377289,1,0.00141747825370615,1,0.00593807362395848,-0.978395117208607,-0.909493225510266,14
91162,0,0.00957230796140115,1,0.00257974482111402,1,0.00566665510955522,-0.730499182483844,-0.408015795939169,15
91658,1,2.04907956746265,1,1.38049766404983,1,2.52157819350642,-0.326284012602163,0.230590667901129,15
97887,1,0.0109320979556601,1,0.0850336827702339,1,0.556651001076498,6.77834987530527,49.9189547453963,16
106572,0,0.103457590491626,1,0.00181663286341835,0,0.0252865630425301,-0.982440796709204,-0.755585231374813,17
110045,0,0.101843192516077,0,0.487113071392536,1,5.60057997850972,3.78297134406544,53.9921878934188,18
113984,0,0.000991807406341643,0,0.00460226274238645,1,0.00266974234635254,3.64027865990862,1.69179513006471,19
117235,0,0.030660337436683,1,0.0112783885154489,1,0.00411413327095469,-0.632150541762953,-0.86581578629228,20
120844,1,0.0756462528899064,1,0.381069524936629,1,0.574741402191099,4.03752017289248,6.59775111435544,21
122295,1,0.0493419335818759,1,0.0574793991940962,1,0.134712468739378,0.164919876897759,1.73018219920064,22
125047,1,0.00345589780698599,1,0.0136551498450879,1,0.00991079348399144,2.95125973270518,1.86779124774959,23
143944,0,0.00558656459778287,0,0.00509679057742811,1,0.0160589783701963,-0.08766998246993,1.87457132001474,24
146387,1,0.0442568268087393,1,0.00839738541115133,0,0.176431756224112,-0.810257851349318,2.98654329616945,25
147394,0,0.0338261866777255,1,0.00494578297065646,1,0.00366970529415403,-0.853788338077338,-0.89151288825085,26
150599,0,0.0167265453858122,1,0.00261595132332242,1,0.0114758148594395,-0.843604805237229,-0.313916018236886,27
155500,1,9.15065598582659,1,6.61822678213892,1,1.12999429039013,-0.276748378215741,-0.876512209382543,28
156229,0,0.081291356164828,1,0.00551057917409562,0,0.123042315842761,-0.932211991113517,0.51359654516377,28
160093,0,0.0162949108025723,1,0.00250808874705696,0,0.030177453246152,-0.846081468168513,0.851955718676792,29
161132,1,0.0022514468927247,0,0.0187965993137417,1,0.00600692027929322,7.34867541156792,1.66802663598414,30
181328,1,0.336760314444383,1,0.0239815722780816,1,0.458697338942848,-0.928787415709454,0.36208846253053,31
183225,0,3.03669387657226,1,0.520897270294659,1,3.44922343403248,-0.828465663163047,0.135848252812982,32
185119,1,0.412211203315405,1,0.0510292171334215,1,0.231848750445606,-0.876206137235003,-0.437548643557351,33
188615,0,0.0277898264010844,0,0.0350369186475219,1,0.00388874479700579,0.260782206475195,-0.860065883792134,34
191056,0,0.0164022904844322,1,0.00846260757715044,1,0.032222813966169,-0.484059401021919,0.964531355956192,35
192900,0,0.0402865997209891,1,0.014157751603967,1,0.0206353960991624,-0.648574173496433,-0.487785113609093,36
193292,0,0.0756462528899064,0,0.196487010507329,1,0.153121756847601,1.59744538560675,1.02418164810424,36
193422,1,0.0140217763878956,1,0.2689121258099,1,2.42630077149423,18.1781781687832,172.038044850633,36
193500,0,0.0171638222511859,1,0.00744933013555487,1,0.388874479700579,-0.565986525230989,21.6566363837582,36
194044,0,0.0112861511595595,1,0.00535351612444591,0,0.0367705125211878,-0.525656173769087,2.25802056000666,36
194149,0,0.0315489968727651,1,0.0573092160182107,1,0.234861138825858,0.816514681887819,6.4443298394886,36
194367,0,0.0143216989475733,1,0.000869082208061737,0,0.0101786407021526,-0.939317101187287,-0.289285388597194,36
194535,0,0.0315489968727651,1,0.0238716912208568,1,0.206825868108955,-0.243345475701506,5.55570346477476,36
195300,0,0.00940868177951936,1,0.00714592721635202,1,0.00566665510955522,-0.24049644957627,-0.397720611415482,36
195361,0,0.00830279448128384,1,0.00209934635278783,1,0.0206353960991624,-0.747151834539542,1.48535552044299,36
195592,0,0.00275502057317123,1,0.0055634381442187,0,0.0655977677811244,1.01938170567444,22.8102642208644,36
195675,0,0.000914049705684458,0,0.00460226274238645,1,0.0107712278716657,4.03502458757446,10.7840723591722,36
195738,0,0.00101843192516077,0,0.00509679057742811,1,0.00614580402204343,4.00454713909673,5.03457518387717,36
195878,0,0.0658244502653988,1,0.010609640542603,1,0.101998006323873,-0.838819154587303,0.549545889295317,36
195904,0,0.00418163634645305,1,0.00116264503258774,1,0.015004404350692,-0.721964098199518,2.58816575798587,36
196041,0,0.0397824970765926,1,0.0574793991940962,1,0.445519652620015,0.444841410619151,10.1988860770168,36
196066,0,0.017384576539673,1,0.00445882443921237,0,0.396129964827196,-0.743518375093177,21.7862878295135,36
196119,0,0.0000509568605213751,1,0.000827703348394986,0,0.0545813605021679,15.2432171041579,1070.12879293795,36
196270,0,0.000863974451746498,1,0.0014988482673801,0,0.0210857266350299,0.734829385695634,23.4054978621252,36
196638,0,0.00169338992542314,0,0.0178352977568495,1,0.00964651756207248,9.53230416048028,4.69657195737837,36
196685,0,0.000552943649117759,0,0.011203073944653,1,0.0141441187670278,19.2607878081752,24.5796748721055,36
196833,0,0.00209487356351023,0,0.0124383842917775,1,0.00345701476239943,4.93753461232064,0.650225971922979,36
196905,0,0.0259996360728024,1,0.0500709432979683,1,0.234213990185979,0.92583246772236,8.00835648353496,36
197067,0,0.00726602513918805,1,0.00436446045436259,0,0.271364994560965,-0.399333146974179,36.3471037276496,36
197230,1,0.002979830251942,1,0.0705842606676403,1,0.13308256881553,22.6873428013691,43.6611241458464,36
197280,0,0.00233184941313213,0,0.016440653568996,1,0.0119092809408302,6.05047824975671,4.10722556686614,36
197404,0,0.0118278102444096,1,0.0367868154842216,1,0.162140023879076,2.11019662338673,12.70837209328,36
197437,0,0.0397824970765926,1,0.0144978656456181,1,0.618077296441446,-0.635571753635636,14.5364127910692,36
197481,0,0.00340670415963145,1,0.0192867117216848,1,0.0218690309441411,4.66139905842934,5.41941005717004,36
197661,0,0.0244000490878546,1,0.0287039346375496,0,0.86748392805088,0.176388397178976,34.5525484775636,36
197780,0,0.000677779141329294,0,0.00474797183663979,1,0.0448594985096534,6.00519025611771,65.1860121892698,36
197918,0,0.000552943649117759,0,0.0087260193423461,1,0.00874967579326302,14.7810282408864,14.8238109927177,36
197945,1,0.0192013913867742,1,0.180756105305665,1,0.425241386145067,8.41369829220653,21.1463839562153,36
198018,0,0.000863974451746498,0,0.000000126155059959608,1,0.0126997278424257,-0.999853982881433,13.6991937281867,36
198093,0,0.00107273889069912,1,0.00395231187347455,1,0.0163994419452811,2.68431862379741,14.2874498048573,36
198359,1,0.00271111656531717,1,0.326600437783289,1,0.388319143134925,119.467132236743,142.232182674335,36
198517,0,0.000552943649117759,0,0.0179302925169991,1,0.00597244735028915,31.426979757535,9.80118626883301,36
